Unnamed: 0,Nairoviridae,Poxviridae,Rhabdoviridae,Pneumoviridae,Togaviridae,Nodaviridae,Reoviridae,Hepeviridae,Orthomyxoviridae,Anelloviridae,Hepadnaviridae,Adenoviridae,Polyomaviridae,Matonaviridae,Bornaviridae,Picobirnaviridae,Papillomaviridae,Peribunyaviridae,Astroviridae,Hantaviridae,Arteriviridae,Arenaviridae,Flaviviridae,Filoviridae,Herpesviridae,Paramyxoviridae,Birnaviridae,Parvoviridae,Phenuiviridae,Tobaniviridae,Picornaviridae,Coronaviridae,Retroviridae,Caliciviridae,Kolmioviridae
Q9UPX8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2864450127877236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051928783382789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9UQB8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0935828877005345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169902912621359,0.0,0.116623472787856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Y294,0.0,0.0,0.0,0.0,0.0483592400690846,0.0,0.0,0.0,2.1208656594528383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178799489144316,0.0,0.0,0.0,0.0
Q9Y3R0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1605504587155959,0.0,0.0,0.0,0.0
Q9Y490,0.0,0.0,0.0,0.0,0.0149253731343283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071721311475409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335545722713864,0.0,0.0,0.0,0.0,0.0,0.0624071322436848,0.3230769230769228,0.0,0.0,0.0
Q9Y4F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54773082942097,0.0,0.0,0.0
Q9Y566,0.0,0.0835820895522388,0.0,0.0,0.0,0.0,0.6282051282051281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1658767772511845,0.038433382137628,0.1304347826086956,0.0,0.0,0.0,0.0,0.0808080808080808,0.3761194029850746,0.0,0.0,0.0
Q9Y572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073221757322175,0.0,0.0,0.0,0.0,0.0,0.0694789081885856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Y5K6,0.0,0.0,0.0,0.0,1.6386036960985626,0.0,0.0,0.0472972972972973,0.0,0.063063063063063,0.0,0.0,0.0,0.0,0.0,0.0,0.0140845070422534,0.0,1.4,0.0,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Y5X1,0.0,0.0,0.0,0.0,0.0,0.0,0.920547945205479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930919837458437,0.0,0.0,0.0,0.0,0.0,0.0,0.0108527131782945,0.0,0.0,0.0
Q9Y6D5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039772727272727,0.0,0.0
Q9Y6M1,0.0,0.0,0.0,0.0,0.0,0.0,0.0193370165745856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072314049586776,0.0,0.0,0.0,0.0,0.0,0.016867469879518,0.0,0.0025887573964497,0.0,0.0,0.0,0.0,0.0,0.0,0.7632398753894082,0.0,0.0,0.0
